Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
04-10-2011,4161689.0,4405,0.8898978433598184,945.0
04-10-2012,6395033.0,7275,0.8775257731958763,879.0
04-10-2013,10094088.0,10158,0.8358928923016342,994.0
04-10-2014,12869334.0,10642,0.6833302010900206,1209.0
04-10-2015,6521162.0,6624,0.8020833333333334,984.0
04-10-2016,12867987.0,12794,0.8251524151946225,1006.0
04-10-2017,12899570.0,13744,0.8481519208381839,939.0
04-10-2018,12258244.0,13299,0.8808933002481389,922.0
04-10-2019,12878773.0,13182,0.9011530875436201,977.0
04-11-2010,417589.0,589,0.9235993208828522,709.0
04-11-2011,3380666.0,4003,0.8825880589557832,845.0
04-11-2012,5724329.0,5060,0.7624505928853755,1131.0
04-11-2013,4872032.0,6854,0.9191712868398015,711.0
04-11-2014,7689101.0,9809,0.9235396064838414,784.0
04-11-2015,9550169.0,10822,0.8990944372574385,882.0
04-11-2016,12543424.0,11980,0.7998330550918197,1047.0
04-11-2017,12861787.0,9278,0.618775598189265,1386.0
04-11-2018,12506376.0,9084,0.7544033465433729,1377.0
04-11-2019,7844230.0,9876,0.931044957472661,794.0
04-12-2010,1147606.0,1204,0.7956810631229236,953.0
04-12-2011,3527622.0,3441,0.8160418482999128,1025.0
04-12-2012,5476439.0,6562,0.9160316976531545,835.0
04-12-2013,5517771.0,7551,0.9421268706131638,731.0
04-12-2014,4929937.0,7332,0.952809601745772,672.0
04-12-2015,5940717.0,7940,0.9397984886649874,748.0
04-12-2016,4757388.0,5264,0.8199088145896657,904.0
04-12-2017,6883410.0,8885,0.9188519977490152,775.0
04-12-2018,7075868.0,9479,0.9594893976157822,746.0
04-12-2019,5585931.0,7926,0.9766590966439566,705.0
05-01-2011,1104229.0,1571,0.9478039465308721,703.0
05-01-2012,2283578.0,3251,0.9569363272839126,702.0
05-01-2013,2933526.0,3517,0.8549900483366506,834.0
05-01-2014,1338968.0,2060,0.9344660194174758,650.0
05-01-2015,3434921.0,5222,0.9438912294140176,658.0
05-01-2016,3202487.0,4850,0.948659793814433,660.0
05-01-2017,4399553.0,6214,0.935307370453814,708.0
05-01-2018,1623955.0,2709,0.9771133259505352,599.0
05-01-2019,5032023.0,5106,0.8627105366235801,986.0
05-01-2020,3000114.0,3864,0.9407349896480331,776.0
